"Name","Bild","Kanton","Bisher/Neu","Beruf","Wohnort","Alter","Partei","Rat"
"Mathias Müller","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_Mitte_Mueller_Mathias.jpg","St. Gallen","Neu","Kantonsrat, Klangweltpräsident, Stadtpräsident","Lichtensteig",41,"Mitte","Nationalrat"
"Nils Schmitt","https://164.ch/grafiken_wahlen2023/Nationalrat/BL_NR_JUSO_Schmitt_Nils.jpg","Basel-Landschaft","Neu","Koch EFZ, Management, Science, Student BCL Food","Muttenz",23,"SP","Nationalrat"
"Martin Rufer","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_FDP_Rufer_Martin.jpg","Solothurn","Neu","Dipl. Ing. ETH, Direktor Schweizer Bauernverband","Lüsslingen",47,"FDP","Nationalrat"
"Andrea Isler","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JGLP_Isler_Andrea.jpg","Zürich","Neu","ang. Wirtschaftspsychologin, Kauffrau","Bäretswil",27,"GLP","Nationalrat"
"Ruedi Anken","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EDU_Anken_Ruedi.jpg","Bern","Neu","Holzbildhauer, Schreiner","Uebeschi",58,"EDU","Nationalrat"
"Michael Notter","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Notter_Michael.jpg","Aargau","Neu","Grossrat, Landwirt","Niederrohrdorf",45,"Mitte","Nationalrat"
"Daniel Gadient","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_JSVP_Gadient_Daniel.jpg","Aargau","Neu","Schreiner EFZ","Kirchdorf",26,"SVP","Nationalrat"
"Andrea Büsser","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_Mitte_Buesser_Andrea.jpg","St. Gallen","Neu","Finanzberaterin, Gemeinderätin, Präsidentin Die Mitte Frauen Kanton St.Gallen","Sargans",36,"Mitte","Nationalrat"
"Isabel Regula Horn Peis Dorado","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_engagiert._Horn-Peis-Dorado_Isabel-Regula.jpg","Aargau","Neu","dipl. Pflegefachfrau","Umiken",41,"weitere","Nationalrat"
"Tabea Brunner","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JMitte_Brunner_Tabea.jpg","Zürich","Neu","Studentin Sinologie (Chinawissenschaften)","Zürich",26,"Mitte","Nationalrat"
"Margot Wohnlich","https://164.ch/grafiken_wahlen2023/Nationalrat/GE_NR_JGruene_Wohnlich_Margot.jpg","Genf","Neu","Etudiante","Meyrin",24,"Grüne","Nationalrat"
"Kuno Gasser","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_MITTE_Gasser_Kuno.jpg","Solothurn","Neu","Bankfachmann in Pension","Nunningen",66,"Mitte","Nationalrat"
